image,image_path,xmin,ymin,xmax,ymax,label,confidence,x_size,y_size
Fire27_frame1573_11.jpg,/Users/xiao/Documents/EarlyFireDetectionRedo/TrainYourOwnYOLO/Data/Source_Images/TestUE400/image_slices_20_20/Fire27_frame1573_11.jpg,1580,367,1746,478,0,0.2517448,1920,1080
Fire190_frame9397_1.jpg,/Users/xiao/Documents/EarlyFireDetectionRedo/TrainYourOwnYOLO/Data/Source_Images/TestUE400/image_slices_20_20/Fire190_frame9397_1.jpg,582,123,818,428,0,0.43468663,1920,1080
Fire190_frame9397_1.jpg,/Users/xiao/Documents/EarlyFireDetectionRedo/TrainYourOwnYOLO/Data/Source_Images/TestUE400/image_slices_20_20/Fire190_frame9397_1.jpg,572,196,820,334,0,0.81226236,1920,1080
Fire335_frame16357_11.jpg,/Users/xiao/Documents/EarlyFireDetectionRedo/TrainYourOwnYOLO/Data/Source_Images/TestUE400/image_slices_20_20/Fire335_frame16357_11.jpg,254,268,493,762,0,0.8868109,1920,1080
Fire109_frame5509_1.jpg,/Users/xiao/Documents/EarlyFireDetectionRedo/TrainYourOwnYOLO/Data/Source_Images/TestUE400/image_slices_20_20/Fire109_frame5509_1.jpg,883,215,1126,323,0,0.2510097,1920,1080
Fire197_frame9733_11.jpg,/Users/xiao/Documents/EarlyFireDetectionRedo/TrainYourOwnYOLO/Data/Source_Images/TestUE400/image_slices_20_20/Fire197_frame9733_11.jpg,1262,704,1790,874,0,0.55387235,1920,1080
Fire153_frame7621_11.jpg,/Users/xiao/Documents/EarlyFireDetectionRedo/TrainYourOwnYOLO/Data/Source_Images/TestUE400/image_slices_20_20/Fire153_frame7621_11.jpg,1298,603,1736,689,0,0.7894645,1920,1080
Fire235_frame11557_11.jpg,/Users/xiao/Documents/EarlyFireDetectionRedo/TrainYourOwnYOLO/Data/Source_Images/TestUE400/image_slices_20_20/Fire235_frame11557_11.jpg,846,652,1292,787,0,0.8813363,1920,1080
Fire247_frame12133_11.jpg,/Users/xiao/Documents/EarlyFireDetectionRedo/TrainYourOwnYOLO/Data/Source_Images/TestUE400/image_slices_20_20/Fire247_frame12133_11.jpg,852,398,1088,508,0,0.5424601,1920,1080
Fire210_frame10357_8.jpg,/Users/xiao/Documents/EarlyFireDetectionRedo/TrainYourOwnYOLO/Data/Source_Images/TestUE400/image_slices_20_20/Fire210_frame10357_8.jpg,0,0,895,436,0,0.37181106,1920,1080
Fire253_frame12421_11.jpg,/Users/xiao/Documents/EarlyFireDetectionRedo/TrainYourOwnYOLO/Data/Source_Images/TestUE400/image_slices_20_20/Fire253_frame12421_11.jpg,815,375,1146,608,0,0.8445405,1920,1080
Fire234_frame11509_1.jpg,/Users/xiao/Documents/EarlyFireDetectionRedo/TrainYourOwnYOLO/Data/Source_Images/TestUE400/image_slices_20_20/Fire234_frame11509_1.jpg,138,340,523,719,0,0.7532732,1920,1080
Fire257_frame12613_1.jpg,/Users/xiao/Documents/EarlyFireDetectionRedo/TrainYourOwnYOLO/Data/Source_Images/TestUE400/image_slices_20_20/Fire257_frame12613_1.jpg,0,485,236,834,0,0.584609,1920,1080
