Fire#,X,Y,Z
1,76500,61200,-4130.737363
2,81600,58650,-5728.652134
3,81600,61200,-5000.675042
4,81600,56100,-7376.235888
5,81600,53550,-6744.431076
6,79050,56100,-5082.700362
7,76500,56100,-3846.785194
8,76500,53550,-3916.195678
9,76500,58650,-4089.760981
10,79050,58650,-5253.312718
11,79050,61200,-5701.564189
12,79050,53550,-6333.855758
13,84150,53550,-7288.09264
14,84150,56100,-7561.846148
15,84150,58650,-7410.88865
16,84150,61200,-6674.175283
17,84150,51000,-6350.053128
18,81600,51000,-6632.953749
19,79050,51000,-5894.188178
20,76500,51000,-4032.571688
21,73950,51000,-1196.118799
22,73950,53550,-1632.037446
23,73950,56100,-1264.220205
24,73950,58650,-751.8484371
25,73950,61200,-2231.664745
