Video#,camera#,X_UE,Y_UE,Z_UE,real Z_UE,P_UE,Y_UE,R_UE,vFOV,hFOV,Foc,pitch,elevation,resolution,X_raster_loc,Y_raster_loc,camera height
1,1,107100,51000,1607.062,,-19.999989,-179.999985,0,58.224674,89.424164,12,10,,,2100,1000,
1,4,107100,61200,-2200,,-9.999997,-179.999985,0,21.618612,37.497356,35,10,,,2100,1200,
1,8,107100,56100,-951,,-9.999997,-179.999985,0,21.618612,37.497356,35,20,,,2100,1100,
1,11,107100,66300,-2200.625,,0,-179.999985,0,58.224674,89.424164,12,0,,,2100,1300,
2,1,107100,51000,1607.062,,-19.999989,-179.999985,0,21.618612,37.497356,35,10,,,2100,1000,
2,4,107100,61200,-2200,,-9.999997,-179.999985,0,58.224674,89.424164,12,10,,,2100,1200,
2,8,107100,56100,-951,,-9.999997,-179.999985,0,58.224674,89.424164,12,20,,,2100,1100,
2,11,107100,66300,-2200.625,,0,-179.999985,0,21.618612,37.497356,35,0,,,2100,1300,
3,1,86700,86700,-2215.773031,,0,-90,0,58.224674,89.424164,12,0,293.3159,,1700,1700,
3,4,81600,86700,-679.2305536,1600.769531,0,-90,0,58.224674,89.424164,12,0,315.12863,,1600,1700,
3,8,76500,86700,2237.241781,,0,-90,0,58.224674,89.424164,12,0,356.53082,,1500,1700,
3,11,71400,86700,4947.40011,7027.400391,0,-90,0,58.224674,89.424164,12,0,395.00418,,1400,1700,
4,1,86700,86700,-2215.773031,,0,-90,0,21.618612,37.497356,35,0,,,1700,1700,
4,4,81600,86700,-679.2305536,1600.769531,0,-90,0,21.618612,37.497356,35,0,,,1600,1700,
4,8,76500,86700,2237.241781,,0,-90,0,21.618612,37.497356,35,0,,,1500,1700,
4,11,71400,86700,4947.40011,7027.400391,0,-90,0,21.618612,37.497356,35,0,,,1400,1700,
5,1,86700,51000,-5786.638259,,0,-179.999985,0,58.224674,89.424164,12,0,237.62396,,1700,1000,15
5,4,86700,61200,-6585.443841,,0,-179.999985,0,58.224674,89.424164,12,0,226.28413,,1700,1200,15
5,8,86700,56100,-5862.908429,,0,-179.999985,0,58.224674,89.424164,12,0,236.54123,,1700,1100,15
5,11,86700,66300,-3738.275621,,0,-179.999985,0,58.224674,89.424164,12,0,266.70248,,1700,1300,15
6,1,96900,51000,-2263.573238,,0,-179.999985,0,58.224674,89.424164,12,,287.63733,,1900,1000,15
6,4,96900,56100,-4307.948242,,0,-179.999985,0,58.224674,89.424164,12,,258.61542,,1900,1100,15
6,8,96900,61200,-7214.395377,,0,-179.999985,0,58.224674,89.424164,12,,217.35555,,1900,1200,15
6,11,96900,66300,-6710.921356,,0,-179.999985,0,58.224674,89.424164,12,,224.50285,,1900,1300,15
7,1,91800,51000,-4657.177814,,0,-179.999985,0,58.224674,89.424164,12,,253.65776,,1800,1000,15
7,4,91800,56100,-6372.765061,,0,-179.999985,0,58.224674,89.424164,12,,229.30331,,1800,1100,15
7,8,91800,61200,-6141.920235,,0,-179.999985,0,58.224674,89.424164,12,,232.58038,,1800,1200,15
7,11,91800,66300,-6469.492318,,0,-179.999985,0,58.224674,89.424164,12,,227.93018,,1800,1300,15
8,1,81600,51000,-6280.741422,,0,-179.999985,0,58.224674,89.424164,12,,230.60968,,1600,1000,15
8,4,81600,56100,-6319.598929,,0,-179.999985,0,58.224674,89.424164,12,,230.05806,,1600,1100,15
8,8,81600,61200,-4648.462794,,0,-179.999985,0,58.224674,89.424164,12,,253.78148,,1600,1200,15
8,11,81600,66300,-1447.416189,,0,-179.999985,0,58.224674,89.424164,12,,299.22348,,1600,1300,15
9,1,76500,51000,-3680.359361,,0,-179.999985,0,58.224674,89.424164,12,,267.52466,,1500,1000,15
9,4,76500,56100,-3494.572948,,0,-179.999985,0,58.224674,89.424164,12,,270.16208,,1500,1100,15
9,8,76500,61200,-3778.524789,,0,-179.999985,0,58.224674,89.424164,12,,266.1311,,1500,1200,15
9,11,76500,66300,-3768.603769,,0,-179.999985,0,58.224674,89.424164,12,,266.27194,,1500,1300,15
