Fire#,X,Y,Z,oriX,oriY
0,51000.0,35700.0,3814.8475071966022,1000,700
1,53550.0,35700.0,3570.973146836888,1050,700
2,56100.0,35700.0,3241.79306411377,1100,700
3,58650.0,35700.0,2878.5912999702796,1150,700
4,61200.0,35700.0,2576.678436199265,1200,700
5,63750.0,35700.0,2407.4707674087313,1250,700
6,66300.0,35700.0,1322.6013377464278,1300,700
7,68850.0,35700.0,251.61273690577036,1350,700
8,71400.0,35700.0,-620.5083228736039,1400,700
9,73950.0,35700.0,-819.8789015598322,1450,700
10,76500.0,35700.0,-1470.3430960811966,1500,700
11,79050.0,35700.0,-1839.789835867692,1550,700
12,81600.0,35700.0,-2873.024818036254,1600,700
13,84150.0,35700.0,-5453.17788731215,1650,700
14,86700.0,35700.0,-5460.676157550635,1700,700
15,89250.0,35700.0,-4280.4875471617215,1750,700
16,91800.0,35700.0,-3760.3595413700295,1800,700
17,94350.0,35700.0,-2044.5691438887916,1850,700
18,96900.0,35700.0,84.28608487517704,1900,700
19,99450.0,35700.0,2779.4240963861885,1950,700
20,51000.0,38250.0,4188.800088273198,1000,750
21,53550.0,38250.0,4066.7769187557424,1050,750
22,56100.0,38250.0,3787.3954111686617,1100,750
23,58650.0,38250.0,3689.7459193931645,1150,750
24,61200.0,38250.0,3330.4824669116297,1200,750
25,63750.0,38250.0,2666.9177968073163,1250,750
26,66300.0,38250.0,1236.685091086083,1300,750
27,68850.0,38250.0,-351.65191020843304,1350,750
28,71400.0,38250.0,-1431.1427068040248,1400,750
29,73950.0,38250.0,-1986.687571018605,1450,750
30,76500.0,38250.0,-2811.740217130655,1500,750
31,79050.0,38250.0,-2757.5024424411567,1550,750
32,81600.0,38250.0,-4650.635100049635,1600,750
33,84150.0,38250.0,-5447.366082957293,1650,750
34,86700.0,38250.0,-5643.592676487619,1700,750
35,89250.0,38250.0,-4710.4213367476,1750,750
36,91800.0,38250.0,-2351.080287487819,1800,750
37,94350.0,38250.0,-1054.9737505508601,1850,750
38,96900.0,38250.0,1617.7296427810143,1900,750
39,99450.0,38250.0,2361.821177811762,1950,750
40,51000.0,40800.0,6392.622971287932,1000,800
41,53550.0,40800.0,6276.509418996851,1050,800
42,56100.0,40800.0,5862.7308762120665,1100,800
43,58650.0,40800.0,5828.466274912982,1150,800
44,61200.0,40800.0,5211.064980697782,1200,800
45,63750.0,40800.0,3319.138323549105,1250,800
46,66300.0,40800.0,1836.7659829757467,1300,800
47,68850.0,40800.0,-475.63348688966653,1350,800
48,71400.0,40800.0,-1207.1211347620902,1400,800
49,73950.0,40800.0,-2925.10855981894,1450,800
50,76500.0,40800.0,-3953.1304383956667,1500,800
51,79050.0,40800.0,-4959.133672213881,1550,800
52,81600.0,40800.0,-5956.405763665811,1600,800
53,84150.0,40800.0,-5576.952014716429,1650,800
54,86700.0,40800.0,-5782.29885236567,1700,800
55,89250.0,40800.0,-3160.6720506998736,1750,800
56,91800.0,40800.0,-1323.2841309222877,1800,800
57,94350.0,40800.0,119.61695396046889,1850,800
58,96900.0,40800.0,817.6633484413014,1900,800
59,99450.0,40800.0,189.19952594420647,1950,800
60,51000.0,43350.0,8154.540199189803,1000,850
61,53550.0,43350.0,7341.029471916754,1050,850
62,56100.0,43350.0,5985.605340171733,1100,850
63,58650.0,43350.0,4924.185202872217,1150,850
64,61200.0,43350.0,4221.280410817137,1200,850
65,63750.0,43350.0,2517.016884040817,1250,850
66,66300.0,43350.0,1137.975780724697,1300,850
67,68850.0,43350.0,-435.04436981029903,1350,850
68,71400.0,43350.0,-1720.8386354359009,1400,850
69,73950.0,43350.0,-3211.126294535092,1450,850
70,76500.0,43350.0,-4321.943006817381,1500,850
71,79050.0,43350.0,-5953.774489935334,1550,850
72,81600.0,43350.0,-6085.545625736162,1600,850
73,84150.0,43350.0,-5683.817413748919,1650,850
74,86700.0,43350.0,-5936.4605368101165,1700,850
75,89250.0,43350.0,-3889.86808272533,1750,850
76,91800.0,43350.0,-1298.1086026072371,1800,850
77,94350.0,43350.0,-291.10466787273253,1850,850
78,96900.0,43350.0,-1335.756884340777,1900,850
79,99450.0,43350.0,-1373.7706207591036,1950,850
80,51000.0,45900.0,8195.82797963715,1000,900
81,53550.0,45900.0,7293.95890851599,1050,900
82,56100.0,45900.0,6008.031359417109,1100,900
83,58650.0,45900.0,4789.433461656921,1150,900
84,61200.0,45900.0,3663.6975993015003,1200,900
85,63750.0,45900.0,2052.9517766291283,1250,900
86,66300.0,45900.0,771.1065713326807,1300,900
87,68850.0,45900.0,-1026.2210657917622,1350,900
88,71400.0,45900.0,-2383.4144281578465,1400,900
89,73950.0,45900.0,-3632.228979149728,1450,900
90,76500.0,45900.0,-4870.245419072829,1500,900
91,79050.0,45900.0,-5802.08069947993,1550,900
92,81600.0,45900.0,-6313.384049500698,1600,900
93,84150.0,45900.0,-5777.241604448229,1650,900
94,86700.0,45900.0,-6000.488197585069,1700,900
95,89250.0,45900.0,-3528.1926293241904,1750,900
96,91800.0,45900.0,-1328.9185822683503,1800,900
97,94350.0,45900.0,-2669.591243148552,1850,900
98,96900.0,45900.0,-3328.377055815896,1900,900
99,99450.0,45900.0,-2397.0372889666996,1950,900
100,51000.0,48450.0,7988.888189508918,1000,950
101,53550.0,48450.0,6999.87537393321,1050,950
102,56100.0,48450.0,5707.717897325405,1100,950
103,58650.0,48450.0,4580.245050350521,1150,950
104,61200.0,48450.0,3394.273657008189,1200,950
105,63750.0,48450.0,1950.688956891534,1250,950
106,66300.0,48450.0,642.1333136039248,1300,950
107,68850.0,48450.0,-948.4931538041201,1350,950
108,71400.0,48450.0,-1824.8147927251212,1400,950
109,73950.0,48450.0,-2137.474173962357,1450,950
110,76500.0,48450.0,-4261.494652219917,1500,950
111,79050.0,48450.0,-6080.061655730894,1550,950
112,81600.0,48450.0,-6496.157611163927,1600,950
113,84150.0,48450.0,-5896.2605214833775,1650,950
